,,,'Alopecurus myo','Digitaria isch','Echinochloa cr','Elymus repens','Poa annua L.','Setaria viridi','Amaranthus ret','Atriplex patul','Brassica napus','Capsella bursa','Chenopodium al','Cirsium arvens','Convolvulus ar','Equisetum arve','Fallopia convo','Fumaria offici','Galinsoga parv','Galium aparine','Geranium pusil','Lamium album L.','Matricaria rec','Mercurialis an','Persicaria lap','Persicaria mac','Polygonum avic','Rumex obtusifo','Solanum nigrum','Sonchus arvens','Stellaria medi','Thlaspi arvens','Veronica arven','Viola arvensis'
Nothing,WeatherBrilon,tt2013,-299.3,44.8,-14.4,-280.3,-338.4,44.8,-20.1,-182.3,-391.1,-381.7,-381.7,-243.5,-207.6,-261.7,-243.5,-261.7,-70.8,-270.7,-207.6,-318.6,-335.3,-70.8,-126.3,-131.1,-378.4,-51.3,-49.8,-118.3,-243.5,-358.4,-291.8,-209.8
Nothing,WeatherBrilon,tt2014,-312.2,116.3,-1.3,-290.1,-357.2,116.3,-2.5,-125,-576.8,-561.6,-561.6,-246.1,-202.7,-268.1,-246.1,-268.1,-26,-378.2,-202.7,-334.7,-486.1,-26,-72.5,-77,-402.2,-14.8,-14.1,-65,-246.1,-379.7,-412.7,-279.2
Nothing,WeatherBrilon,tt2015,-224.3,103.2,-8.6,-207.3,-259.5,103.2,-11.4,-99.9,-389.5,-375.9,-375.9,-174.5,-142.8,-190.8,-174.5,-190.8,-38,-231.5,-142.8,-241.8,-312.7,-38,-68.4,-71.1,-297.4,-27.7,-27,-63.9,-174.5,-277.9,-256.9,-162.5
Nothing,WeatherDuesseldorf,tt1999,-303.3,237.7,-9.1,-285.3,-339.3,237.7,-13.2,-79.2,-580.2,-566.8,-566.8,-249.9,-215,-267.4,-249.9,-267.4,-37.2,-399.6,-215,-321.3,-499.8,-37.2,-58.2,-60,-375.3,-29.4,-28.8,-55.2,-249.9,-357.3,-432.8,-305.5
Nothing,WeatherDuesseldorf,tt2000,-184,299.7,0,-176,-200,299.7,0,0,-501.6,-489.4,-489.4,-160,-144,-168,-160,-168,0,-340.1,-144,-192,-429.2,0,0,0,-216,0,0,0,-160,-208,-369.6,-256.1
Nothing,WeatherDuesseldorf,tt2001,-345.6,173.4,-48,-324.6,-387.6,173.4,-55,-193.5,-583.4,-568.8,-568.8,-284,-245.1,-304,-284,-304,-102.5,-398.1,-245.1,-366.6,-497.5,-102.5,-148,-151.9,-430.5,-85.6,-84.3,-141.5,-284,-409,-429.7,-308
Nothing,WeatherDuesseldorf,tt2002,-255.6,241.7,-1.7,-238.1,-290.6,241.7,-3.1,-51.1,-523.3,-510.1,-510.1,-203.1,-168.1,-220.6,-203.1,-220.6,-16.1,-347.9,-168.1,-273.1,-444.9,-16.1,-33.6,-35.1,-325.6,-9.9,-9.5,-31.1,-203.1,-308.1,-379.9,-257.5
Nothing,WeatherDuesseldorf,tt2003,-240.7,268.2,0,-227.4,-268.9,268.2,0,0,-523,-510.8,-510.8,-201.4,-176.3,-214.4,-201.4,-214.4,0,-363.8,-176.3,-254.4,-450.3,0,0,0,-298.9,0,0,0,-201.4,-283.9,-392.3,-282.7
Nothing,WeatherDuesseldorf,tt2004,-286.8,179.7,-7.8,-270.3,-319.8,179.7,-9.9,-42.9,-510.7,-498.1,-498.1,-237.3,-205.9,-253.8,-237.3,-253.8,-21.9,-354.5,-205.9,-303.3,-437.8,-21.9,-32.4,-33.3,-352.8,-18,-17.7,-30.9,-237.3,-336.3,-381.7,-279.8
Nothing,WeatherDuesseldorf,tt2005,-345,183.3,-23.3,-326,-383,183.3,-26.3,-108,-621.7,-609.1,-609.1,-288,-250.2,-307,-288,-307,-52,-455.8,-250.2,-364,-546.8,-52,-80,-82.4,-421,-42.7,-42,-76,-288,-402,-485.8,-369.3
Nothing,WeatherDuesseldorf,tt2006,-300.5,195.5,-39.2,-282,-337.5,195.5,-43.4,-117.5,-473.7,-461.9,-461.9,-245.3,-209.5,-263.5,-245.3,-263.5,-68.5,-331.2,-209.5,-319,-406,-68.5,-93,-95.1,-374.5,-59.6,-59,-89.5,-245.3,-356,-355.3,-262.2
Nothing,WeatherDuesseldorf,tt2007,-385.4,247.8,-15.7,-368.4,-419.4,247.8,-18.5,-62.5,-670.5,-657.5,-657.5,-334.4,-300.4,-351.4,-334.4,-351.4,-34.5,-495.7,-300.4,-402.4,-592.5,-34.5,-48.5,-49.7,-453.4,-29.3,-28.9,-46.5,-334.4,-436.4,-527.5,-401.9
